Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
41,"OA Wahab, A Mourad, H Otrok, ...","Federated machine learning: Survey, multi-level classification, desirable criteria and future directions in communication and networking systems",2021,"… Surveys & Tutorials","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9352033/","https://scholar.google.com/scholar?cites=1781264658118235065&as_sdt=2005&sciodt=0,5&hl=en",2,"2021-12-18 21:07:24","","","","",,,,,41,41.00,10,4,1,"The communication and networking field is hungry for machine learning decision-making solutions to replace the traditional model-driven approaches that proved to be not rich enough for seizing the ever-growing complexity and heterogeneity of the modern systems in …","http://www.mosaic-lab.org/uploads/papers/6088b6ef-8073-40b6-bcca-ae5c39a7e61f.pdf","https://scholar.google.com/scholar?q=related:uVMY3sRSuBgJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
34,"S Wang, Y Ruan, Y Tu, S Wagle, ...","Network-aware optimization of distributed learning for fog computing",2021,"IEEE/ACM …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9437529/","https://scholar.google.com/scholar?cites=8086520225350475182&as_sdt=2005&sciodt=0,5&hl=en",1,"2021-12-18 21:07:24","","","","",,,,,34,34.00,7,5,1,"Fog computing promises to enable machine learning tasks to scale to large amounts of data by distributing processing across connected devices. Two key challenges to achieving this goal are (i) heterogeneity in devices' compute resources and (ii) topology constraints on …","https://arxiv.org/pdf/2004.08488","https://scholar.google.com/scholar?q=related:rt0G_UwXOXAJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
8,"Y Wang, IL Bennani, X Liu, M Sun, ...","Electricity Consumer Characteristics Identification: A Federated Learning Approach",2021,"IEEE Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9380668/","https://scholar.google.com/scholar?cites=15439520604153405432&as_sdt=2005&sciodt=0,5&hl=en",3,"2021-12-18 21:07:24","","","","",,,,,8,8.00,2,5,1,"Nowadays, smart meters are deployed in millions of residential households to gain significant insights from fine-grained electricity consumption data. The information extracted from smart meter data enables utilities to identify the socio-demographic characteristics of …","https://www.researchgate.net/profile/Yi-Wang-68/publication/350042844_Electricity_Consumer_Characteristics_Identification_A_Federated_Learning_Approach/links/60d2420745851566d5839096/Electricity-Consumer-Characteristics-Identification-A-Federated-Learning-Approach.pdf","https://scholar.google.com/scholar?q=related:-F_j-C8yRNYJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
6,"C Li, G Li, PK Varshney","Decentralized Federated Learning via Mutual Knowledge Transfer",2021,"IEEE Internet of Things Journal","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9426904/","https://scholar.google.com/scholar?cites=12696743692167144575&as_sdt=2005&sciodt=0,5&hl=en",6,"2021-12-18 21:07:24","","","","",,,,,6,6.00,2,3,1,"In this paper, we investigate the problem of decentralized federated learning (DFL) in Internet of things (IoT) systems, where a number of IoT clients train models collectively for a common task without sharing their private training data in the absence of a central server …","https://arxiv.org/pdf/2012.13063","https://scholar.google.com/scholar?q=related:f-TNJx7lM7AJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
4,"N Bouacida, P Mohapatra","Vulnerabilities in Federated Learning",2021,"IEEE Access","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9411833/","https://scholar.google.com/scholar?cites=8324121567453954904&as_sdt=2005&sciodt=0,5&hl=en",7,"2021-12-18 21:07:24","","","","",,,,,4,4.00,2,2,1,"With more regulations tackling the protection of users' privacy-sensitive data in recent years, access to such data has become increasingly restricted. A new decentralized training paradigm, known as Federated Learning (FL), enables multiple clients located at different …","https://ieeexplore.ieee.org/iel7/6287639/9312710/09411833.pdf","https://scholar.google.com/scholar?q=related:WMNCZ3Y4hXMJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
3,"S Hu, X Chen, W Ni, E Hossain, ...","Distributed Machine Learning for Wireless Communication Networks: Techniques, Architectures, and Applications",2021,"… Surveys & Tutorials","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9446488/","https://scholar.google.com/scholar?cites=4588780567030409525&as_sdt=2005&sciodt=0,5&hl=en",14,"2021-12-18 21:07:24","","","","",,,,,3,3.00,1,5,1,"Distributed machine learning (DML) techniques, such as federated learning, partitioned learning, and distributed reinforcement learning, have been increasingly applied to wireless communications. This is due to improved capabilities of terminal devices, explosively …","https://arxiv.org/pdf/2012.01489","https://scholar.google.com/scholar?q=related:NSkQAp2frj8J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
1,"R Kontar, N Shi, X Yue, S Chung, E Byon, ...","The Internet of Federated Things (IoFT): A Vision for the Future and In-depth Survey of Data-driven Approaches for Federated Learning",2021,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2111.05326","https://scholar.google.com/scholar?cites=9502084529494691229&as_sdt=2005&sciodt=0,5&hl=en",4,"2021-12-18 21:07:24","","","","",,,,,1,1.00,0,6,1,"The Internet of Things (IoT) is on the verge of a major paradigm shift. In the IoT system of the future, IoFT, the cloud will be substituted by the crowd where model training is brought to the edge, allowing IoT devices to collaboratively extract knowledge and build smart …","https://arxiv.org/pdf/2111.05326",""
1,"FPC Lin, S Hosseinalipour, SS Azam, ...","Semi-decentralized federated learning with cooperative D2D local model aggregations",2021,"IEEE Journal on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9562522/","https://scholar.google.com/scholar?cites=16547362381798864297&as_sdt=2005&sciodt=0,5&hl=en",5,"2021-12-18 21:07:24","","","","",,,,,1,1.00,0,4,1,"Federated learning has emerged as a popular technique for distributing machine learning (ML) model training across the wireless edge. In this paper, we propose two timescale hybrid federated learning (TT-HF), a semi-decentralized learning architecture that combines …","",""
1,"H Saadat, A Aboumadi, A Mohamed, ...","Hierarchical federated learning for collaborative IDS in IoT applications",2021,"2021 10th …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9460304/","https://scholar.google.com/scholar?cites=8403586429678937675&as_sdt=2005&sciodt=0,5&hl=en",8,"2021-12-18 21:07:24","","","","",,,,,1,1.00,0,4,1,"As the Internet-of-Things devices are being very widely adopted in all fields, such as smart houses, healthcare, and transportation, extremely huge amounts of data are being gathered, shared, and processed. This fact raises many challenges on how to make the best use of …","",""
1,"A Barros, D Rosário, E Cerqueira, ...","A strategy to the reduction of communication overhead and overfitting in Federated Learning",2021,"Anais do XXVI …","sol.sbc.org.br","https://sol.sbc.org.br/index.php/wgrs/article/view/17181","https://scholar.google.com/scholar?cites=18227015210945288126&as_sdt=2005&sciodt=0,5&hl=en",9,"2021-12-18 21:07:24","","","","",,,,,1,1.00,0,4,1,"Federated learning (FL) is a framework to train machine learning models using decentralized data, especially unbalanced and non-iid. Adaptive methods can be used to accelerate convergence, reducing the number of rounds of local computation and …","https://sol.sbc.org.br/index.php/wgrs/article/download/17181/17019/",""
1,"SH Majidi, H Asharioun","Privacy Preserving Federated Learning Solution for Security of Industrial Cyber Physical Systems",2021,"AI-Enabled Threat Detection and Security …","Springer","https://link.springer.com/chapter/10.1007/978-3-030-76613-9_11","https://scholar.google.com/scholar?cites=14596391249328646619&as_sdt=2005&sciodt=0,5&hl=en",10,"2021-12-18 21:07:24","","10.1007/978-3-030-76613-9_11","","",,,,,1,1.00,1,2,1,"Abstract Cyber-Physical Systems (CPSs) are systems formed of integrating computation technologies with traditional embedded physical systems. CPS increases the efficiency of the physical system and enhances its monitoring and control process. However, the …","",""
1,"E Guberović, T Lipić, I Čavrak","Dew Intelligence: Federated learning perspective",2021,"2021 IEEE 45th Annual …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9529852/","https://scholar.google.com/scholar?cites=15658785354202307543&as_sdt=2005&sciodt=0,5&hl=en",11,"2021-12-18 21:07:24","","","","",,,,,1,1.00,0,3,1,"Newly emerging and evolving technologies such as Cloud, Fog and Edge Computing, as well as Internet of Things, Cyber-Physical Systems and Distributed Ledger Technology (such as blockchain) together with advances in Artificial Intelligence (AI) research are …","",""
1,"H Alfauri, F Esposito","A Distributed Consensus Protocol for Sustainable Federated Learning",2021,"2021 IEEE 7th International Conference …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9492565/","https://scholar.google.com/scholar?cites=18425158143116027183&as_sdt=2005&sciodt=0,5&hl=en",12,"2021-12-18 21:07:24","","","","",,,,,1,1.00,1,2,1,"The most significant challenge of our time is global warming, it impacts every area of our lives. This study was motivated by the observation that to train Artificial Intelligence and Machine learning (AI/ML) algorithms result in staggering carbon footprints. Moreover …","",""
1,"FPC Lin, S Hosseinalipour, SS Azam, ...","Federated learning beyond the star: Local D2D model consensus with global cluster sampling",2021,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2109.03350","https://scholar.google.com/scholar?cites=3208759930713963379&as_sdt=2005&sciodt=0,5&hl=en",13,"2021-12-18 21:07:24","","","","",,,,,1,1.00,0,4,1,"Federated learning has emerged as a popular technique for distributing model training across the network edge. Its learning architecture is conventionally a star topology between the devices and a central server. In this paper, we propose two timescale hybrid federated …","https://arxiv.org/pdf/2109.03350",""
1,"FPC Lin, S Hosseinalipour, SS Azam, ...","Two Timescale Hybrid Federated Learning with Cooperative D2D Local Model Aggregations",2021,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2103.10481","https://scholar.google.com/scholar?cites=5766657727740198253&as_sdt=2005&sciodt=0,5&hl=en",31,"2021-12-18 21:07:24","","","","",,,,,1,1.00,0,4,1,"Federated learning has emerged as a popular technique for distributing machine learning (ML) model training across the wireless edge. In this paper, we propose two timescale hybrid federated learning (TT-HF), which is a hybrid between the device-to-server …","https://arxiv.org/pdf/2103.10481","https://scholar.google.com/scholar?q=related:bT03e6ZIB1AJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"S Zhang","An Energy Consumption Model for Electrical Vehicle Networks via Extended Federated-learning",2021,"2021 IEEE Intelligent Vehicles Symposium (IV)","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9575223/","",15,"2021-12-18 21:07:24","","","","",,,,,0,0.00,0,1,1,"Electrical vehicle (EV) raises to promote an eco-sustainable society. Nevertheless, the “range anxiety” of EV hinders its wider acceptance among customers. This paper proposes a novel solution to range anxiety based on a federated-learning model, which is capable of …","https://arxiv.org/pdf/2111.08472",""
0,"D Shome, T Kar","FedAffect: Few-shot federated learning for facial expression recognition",2021,"Proceedings of the IEEE/CVF International …","openaccess.thecvf.com","https://openaccess.thecvf.com/content/ICCV2021W/HTCV/html/Shome_FedAffect_Few-Shot_Federated_Learning_for_Facial_Expression_Recognition_ICCVW_2021_paper.html","",16,"2021-12-18 21:07:24","","","","",,,,,0,0.00,0,2,1,"Annotation of large-scale facial expression datasets in the real world is a major challenge because of privacy concerns of the individuals due to which traditional supervised learning approaches won't scale. Moreover, training models on large curated datasets often leads to …","https://openaccess.thecvf.com/content/ICCV2021W/HTCV/papers/Shome_FedAffect_Few-Shot_Federated_Learning_for_Facial_Expression_Recognition_ICCVW_2021_paper.pdf",""
0,"X Liu, R Deng, Y Miao, ...","5G-enabled Intelligent Application for Distributed Industrial Internet-of-Thing System",2021,"IEEE Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9599404/","",17,"2021-12-18 21:07:24","","","","",,,,,0,0.00,0,4,1,"As a novel network infrastructure that realizes the interconnection of humans, machines, and things, the 5G-based or blockchain-based applications have been widely deployed in the Industrial Internet of Things (IIoT). However, there are still many challenges to be solved …","",""
0,"A Wallis, U Ludolfinger, S Hauke, M Martens","Towards Federated Short-Term Load Forecasting",,"iewt2021.eeg.tuwien.ac.at","","https://iewt2021.eeg.tuwien.ac.at/download/contribution/fullpaper/119/119_fullpaper_20210831_193903.pdf","",18,"2021-12-18 21:07:24","PDF","","","",,,,,0,0.00,0,4,,"The ongoing paradigm shift from centrally managed power grids to distributed Smart Grids necessitates accurate and robust Short-Term Load Forecasting capabilities. With the increasing deployment of smart meters, Machine Learning based techniques show …","https://iewt2021.eeg.tuwien.ac.at/download/contribution/fullpaper/119/119_fullpaper_20210831_193903.pdf",""
0,"Y Jiang, K Zhang, Y Qian, RQ Hu","Efficient and Privacy-preserving Distributed Learning in Cloud-Edge Computing Systems",2021,"… of the 3rd ACM Workshop on …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3468218.3469044","",19,"2021-12-18 21:07:24","","10.1145/3468218.3469044","","",,,,,0,0.00,0,4,1,"Machine learning and cloud computing have been integrated in diverse applications to provide intelligent services. With powerful computational ability, the cloud server can execute machine learning algorithm efficiently. However, since accurate machine learning …","","https://scholar.google.com/scholar?q=related:7k62NHNqkxQJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"B Ghimire, DB Rawat","Secure, Privacy Preserving and Verifiable Federating Learning using Blockchain for Internet of Vehicles",2021,"IEEE Consumer Electronics Magazine","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9501983/","",20,"2021-12-18 21:07:24","","","","",,,,,0,0.00,0,2,1,"Internet of Vehicles (IoV) has been sought as a solution to realize an Intelligent Transportation System (ITS) for efficient traffic management. Data driven ITS requires learning from vehicular data and provide vehicles with timely information to support a wide …","",""
0,"Z Qin, J Ye, J Meng, B Lu, ...","Privacy-Preserving Blockchain-Based Federated Learning for Marine Internet of Things",2021,"IEEE Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9508125/","",21,"2021-12-18 21:07:24","","","","",,,,,0,0.00,0,5,1,"The marine Internet of things (MIoT) is the application of the Internet of things technology in the marine field. Nowadays, with the arrival of the era of big data, the MIoT architecture has been transformed from cloud computing architecture to edge computing architecture …","",""
0,"H Wang, Z Qu, Q Zhou, H Zhang, B Luo, ...","A Comprehensive Survey on Training Acceleration for Large Machine Learning Models in IoTs",2021,"IEEE Internet of …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9534784/","",22,"2021-12-18 21:07:24","","","","",,,,,0,0.00,0,6,1,"The ever-growing Artificial Intelligence (AI) applications have greatly reshaped our world in many areas, eg, smart home, computer vision, natural language processing, etc. Behind these applications are usually machine learning (ML) models with extremely large size …","",""
0,"I Achituve, A Shamsian, A Navon, ...","Personalized Federated Learning with Gaussian Processes",2021,"Advances in Neural …","proceedings.neurips.cc","https://proceedings.neurips.cc/paper/2021/hash/46d0671dd4117ea366031f87f3aa0093-Abstract.html","",23,"2021-12-18 21:07:24","","","","",,,,,0,0.00,0,4,1,"Federated learning aims to learn a global model that performs well on client devices with limited cross-client communication. Personalized federated learning (PFL) further extends this setup to handle data heterogeneity between clients by learning personalized models. A …","https://proceedings.neurips.cc/paper/2021/file/46d0671dd4117ea366031f87f3aa0093-Paper.pdf",""
0,"MA Ferrag, O Friha, L Maglaras, H Janicke, ...","Federated Deep Learning for Cyber Security in the Internet of Things: Concepts, Applications, and Experimental Analysis",2021,"IEEE Access","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9562531/","",24,"2021-12-18 21:07:24","","","","",,,,,0,0.00,0,5,1,"In this article, we present a comprehensive study with an experimental analysis of federated deep learning approaches for cyber security in the Internet of Things (IoT) applications. Specifically, we first provide a review of the federated learning-based security and privacy …","https://ieeexplore.ieee.org/iel7/6287639/9312710/09562531.pdf",""
0,"MA Khan, N Alkaabi","Rebirth of Distributed AI—A Review of eHealth Research",2021,"Sensors","mdpi.com","https://www.mdpi.com/1199578","",25,"2021-12-18 21:07:24","","","","",,,,,0,0.00,0,2,1,"The envisioned smart city domains are expected to rely heavily on artificial intelligence and machine learning (ML) approaches for their operations, where the basic ingredient is data. Privacy of the data and training time have been major roadblocks to achieving the specific …","https://www.mdpi.com/1424-8220/21/15/4999/pdf",""
0,"S Wu, M Yu, MAM Ahmed, Y Qian, Y Tao","FL-MAC-RDP: Federated Learning over Multiple Access Channels with Rényi Differential Privacy",2021,"International Journal of …","Springer","https://link.springer.com/article/10.1007/s10773-021-04867-0","",26,"2021-12-18 21:07:24","","10.1007/s10773-021-04867-0","","",,,,,0,0.00,0,5,1,"Federated Learning (FL) is a promising paradigm, where the local users collaboratively learn models by repeatedly sharing information while the data is kept distributing on these users. FL has been considered in multiple access channels (FL-MAC), which is a hot issue …","",""
0,"PJ Roig, S Alcaraz, K Gilly, C Bernad, C Juiz","Modeling of a Generic Edge Computing Application Design",2021,"Sensors","mdpi.com","https://www.mdpi.com/1424-8220/21/21/7276","",27,"2021-12-18 21:07:24","","","","",,,,,0,0.00,0,5,1,"Edge computing applications leverage advances in edge computing along with the latest trends of convolutional neural networks in order to achieve ultra-low latency, high-speed processing, low-power consumptions scenarios, which are necessary for deploying real …","https://www.mdpi.com/1424-8220/21/21/7276/pdf",""
0,"W Pedrycz","Federated FCM: Clustering Under Privacy Requirements",2021,"IEEE Transactions on Fuzzy Systems","ieeexplore.ieee.org","https://ieeexplore.ieee.org/document/9516933/","",28,"2021-12-18 21:07:24","","","","",,,,,0,0.00,0,1,1,"Federated learning addresses the issue of machine learning realized under constraints of privacy and security. While there have been intensive studies on building and analyzing federated regression models, this topic has not been analyzed so far in the area of fuzzy …","",""
0,"M Al-Quraan, L Mohjazi, L Bariah, A Centeno, ...","Edge-Native Intelligence for 6G Communications Driven by Federated Learning: A Survey of Trends and Challenges",2021,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2111.07392","",29,"2021-12-18 21:07:24","","","","",,,,,0,0.00,0,5,1,"The unprecedented surge of data volume in wireless networks empowered with artificial intelligence (AI) opens up new horizons for providing ubiquitous data-driven intelligent services. Traditional cloud-centric machine learning (ML)-based services are implemented …","https://arxiv.org/pdf/2111.07392",""
0,"M Ganapathy","An Introduction to Federated Learning and Its Analysis",2021,"","search.proquest.com","https://search.proquest.com/openview/cfa3519feedb831ac808d0eaa23af0cb/1?pq-origsite=gscholar&cbl=18750&diss=y","",30,"2021-12-18 21:07:24","","","","",,,,,0,0.00,0,1,1,"With the onset of the digital era, data privacy is one of the most predominant issues. Decentralized learning is becoming popular as the data can remain within local entities by maintaining privacy. Federated Learning is a decentralized machine learning approach …","https://digitalscholarship.unlv.edu/cgi/viewcontent.cgi?article=5150&context=thesesdissertations",""
0,"M Abdel-Basset, N Moustafa, H Hawash, ...","Federated Learning for Privacy-Preserving Internet of Things",2022,"… Learning Techniques for …","Springer","https://link.springer.com/chapter/10.1007/978-3-030-89025-4_9","",32,"2021-12-18 21:07:24","","10.1007/978-3-030-89025-4_9","","",,,,,0,0.00,0,4,1,"The rapid evolution of the Internet of Things (IoT) and relevant applications have been paving the way toward the fulfillment of smart cities. Smart cities are thought to come up with multiple crucial smart IoT applications ie, smart manufacturing, smart transportation …","",""
0,"J Zheng, K Li, E Tovar, M Guizani","Federated Learning for Energy-balanced Client Selection in Mobile Edge Computing",2021,"2021 International Wireless …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9498853/","",33,"2021-12-18 21:07:24","","","","",,,,,0,0.00,0,4,1,"Mobile edge computing (MEC) has been considered as a promising technology to provide seamless integration of multiple application services. Federated learning (FL) is carried out at edge clients in MEC for privacy-preserving training of data processing models. Despite …","https://recipp.ipp.pt/bitstream/10400.22/18259/1/ART_CISTER-TR-210305_2021.pdf",""
0,"TR Gadekallu, QV Pham, T Huynh-The, ...","Federated Learning for Big Data: A Survey on Opportunities, Applications, and Future Directions",2021,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2110.04160","",34,"2021-12-18 21:07:24","","","","",,,,,0,0.00,0,4,1,"Big data has remarkably evolved over the last few years to realize an enormous volume of data generated from newly emerging services and applications and a massive number of Internet-of-Things (IoT) devices. The potential of big data can be realized via analytic and …","https://arxiv.org/pdf/2110.04160",""
0,"A Ali, I Ilahi, A Qayyum, I Mohammed, A Al-Fuqaha, ...","Incentive-Driven Federated Learning and Associated Security Challenges: A Systematic Review",2021,"","techrxiv.org","https://www.techrxiv.org/articles/preprint/Incentive-Driven_Federated_Learning_and_Associated_Security_Challenges_A_Systematic_Review/14945433","",35,"2021-12-18 21:07:24","","","","",,,,,0,0.00,0,6,1,"In response to various privacy risks, researchers and practitioners have been exploring different paradigms that can leverage the increased computational capabilities of consumer devices to train machine (ML) learning models in a distributed fashion without requiring the …","https://www.techrxiv.org/articles/preprint/Incentive-Driven_Federated_Learning_and_Associated_Security_Challenges_A_Systematic_Review/14945433/files/28773933.pdf",""
0,"C Li, G Li, PK Varshney","Federated Learning with Soft Clustering",2021,"IEEE Internet of Things Journal","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9542984/","",36,"2021-12-18 21:07:24","","","","",,,,,0,0.00,0,3,1,"In this paper, we consider the problem of federated learning (FL) with training data that are not independent and identically distributed (non-IID) across the clients. To cope with data heterogeneity, Iterative Federated Clustering Algorithm (IFCA) has been proposed. IFCA …","",""
0,"H Zeng, T Zhou, Y Guo, Z Cai, F Liu","FedCav: Contribution-aware Model Aggregation on Distributed Heterogeneous Data in Federated Learning",2021,"50th International Conference on …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3472456.3472504","",37,"2021-12-18 21:07:24","","10.1145/3472456.3472504","","",,,,,0,0.00,0,5,1,"The emerging federated learning (FL) paradigm allows multiple distributed devices to cooperatively train models in parallel with the raw data retained locally. The local-computed parameters will be transferred to a centralized server for aggregation. However, the vanilla …","",""
0,"R Kontar, N Shi, X Yue, S Chung, E Byon, ...","The Internet of Federated Things (IoFT)",2021,"IEEE …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9611259/","",38,"2021-12-18 21:07:24","","","","",,,,,0,0.00,0,6,1,"The Internet of Things (IoT) is on the verge of a major paradigm shift. In the IoT system of the future, IoFT, the “cloud” will be substituted by the “crowd” where model training is brought to the edge, allowing IoT devices to collaboratively extract knowledge and build smart …","https://ieeexplore.ieee.org/iel7/6287639/9312710/09611259.pdf",""
0,"Y Shi, Y Zhou, Y Shi","Over-the-Air Decentralized Federated Learning",2021,"arXiv preprint arXiv:2106.08011","arxiv.org","https://arxiv.org/abs/2106.08011","",39,"2021-12-18 21:07:24","","","","",,,,,0,0.00,0,3,1,"In this paper, we consider decentralized federated learning (FL) over wireless networks, where over-the-air computation (AirComp) is adopted to facilitate the local model consensus in a device-to-device (D2D) communication manner. However, the AirComp-based …","https://arxiv.org/pdf/2106.08011","https://scholar.google.com/scholar?q=related:6qpSxtWx-3UJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"J Luo, Y Hu, Y Bai","Bibliometric Analysis of the Blockchain Scientific Evolution: 2014–2020",2021,"IEEE Access","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9464300/","",40,"2021-12-18 21:07:24","","","","",,,,,0,0.00,0,3,1,"As one of the disruptive technologies in the fourth industrial revolution, Blockchain has irrevocably changed how people live and work. Many scholars have studied the Blockchain, and the number of related publications has increased over time. Bibliometrics is an excellent …","https://ieeexplore.ieee.org/iel7/6287639/9312710/09464300.pdf",""
0,"C Li, G Li, PK Varshney","Robust Federated Opportunistic Learning in the Presence of Label Quality Disparity",2021,"IEEE Internet of Things Journal","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9601257/","",41,"2021-12-18 21:07:24","","","","",,,,,0,0.00,0,3,1,"In this paper, the problem of federated learning (FL) in the presence of label quality disparity is considered. To address this problem, Federated Opportunistic Computing for Ubiquitous System (FOCUS) has been proposed very recently. In FOCUS, the central server utilizes its …","",""
0,"A van Wyk","Context-Aware Support for Cardiac Health Monitoring Using Federated Machine Learning",,"Artificial Intelligence XXXVIII: 41st SGAI International …","books.google.com","https://books.google.com/books?hl=en&lr=&id=SitTEAAAQBAJ&oi=fnd&pg=PA267&ots=-KNNo_1gz7&sig=aEfYz6NTGLp_zcPFEVNp6rAZNQE","",42,"2021-12-18 21:07:24","","","","",,,,,0,0.00,0,1,,"Context-awareness provides a platform for healthcare professionals to assess the health status of patients in their care using multiple relevant parameters such as heart rate, electrocardiogram (ECG) signals and activity data. It involves the use of digital technologies …","",""
0,"E Baccour, N Mhaisen, AA Abdellatif, A Erbad, ...","Pervasive AI for IoT Applications: Resource-efficient Distributed Artificial Intelligence",2021,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2105.01798","",43,"2021-12-18 21:07:24","","","","",,,,,0,0.00,0,5,1,"Artificial intelligence (AI) has witnessed a substantial breakthrough in a variety of Internet of Things (IoT) applications and services, spanning from recommendation systems to robotics control and military surveillance. This is driven by the easier access to sensory data and the …","https://arxiv.org/pdf/2105.01798","https://scholar.google.com/scholar?q=related:qW9T8KvQtOkJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"X Zhu, D Wang, W Pedrycz, Z Li","Horizontal Federated Learning of Takagi-Sugeno Fuzzy Rule-based Models",2021,"IEEE Transactions on Fuzzy …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9565342/","",44,"2021-12-18 21:07:24","","","","",,,,,0,0.00,0,4,1,"In this study, we elaborate on a design and realization of fuzzy rule-based model in the horizontal federated learning framework. Traditional machine learning in distributed environment often involves sharing sensitive information with other sites or transferring data …","",""
0,"B Yu, W Mao, Y Lv, C Zhang, Y Xie","A survey on federated learning in data mining",,"Wiley Interdisciplinary Reviews …","Wiley Online Library","https://wires.onlinelibrary.wiley.com/doi/abs/10.1002/widm.1443","",45,"2021-12-18 21:07:24","","10.1002/widm.1443","","",,,,,0,0.00,0,5,,"Data mining is a process to extract unknown, hidden, and potentially useful information from data. But the problem of data island makes it arduous for people to collect and analyze scattered data, and there is also a privacy security issue when mining data. A collaboratively …","",""
0,"GO Ogbuabor, JC Augusto, R Moseley, ...","Context-aware support for cardiac health monitoring using federated machine learning",2021,"… Conference on Innovative …","Springer","https://link.springer.com/chapter/10.1007/978-3-030-91100-3_22","",46,"2021-12-18 21:07:24","","10.1007/978-3-030-91100-3_22","","",,,,,0,0.00,0,4,1,"Context-awareness provides a platform for healthcare professionals to assess the health status of patients in their care using multiple relevant parameters such as heart rate, electrocardiogram (ECG) signals and activity data. It involves the use of digital technologies …","",""
0,"EM Campos, PF Saura, A González-Vidal, ...","Evaluating Federated Learning for intrusion detection in Internet of Things: Review and challenges",2021,"Computer Networks","Elsevier","https://www.sciencedirect.com/science/article/pii/S1389128621005405","",47,"2021-12-18 21:07:24","HTML","","","",,,,,0,0.00,0,4,1,"Abstract The application of Machine Learning (ML) techniques to the well-known intrusion detection systems (IDS) is key to cope with increasingly sophisticated cybersecurity attacks through an effective and efficient detection process. In the context of the Internet of Things …","https://www.sciencedirect.com/science/article/pii/S1389128621005405",""
0,"贺文晨, 郭少勇, 邱雪松, 陈连栋, 张素香","基于 DRL 的联邦学习节点选择方法",2021,"通信学报","infocomm-journal.com","http://www.infocomm-journal.com/txxb/CN/10.11959/j.issn.1000-436x.2021111","",48,"2021-12-18 21:07:24","","10.11959/j.issn.1000-436x.2021111","","",,,,,0,0.00,0,5,1,"为了应对设备差异化计算能力及非独立同分布数据对联邦学习性能的影响, 高效地调度终端设备完成模型聚合, 提出了一种基于深度强化学习的设备节点选择方法. 该方法考虑异构节点的训练质量和效率, 筛选恶意节点, 在提升联邦学习模型准确率的同时, 优化训练时延. 首先 …","http://www.infocomm-journal.com/txxb/CN/article/downloadArticleFile.do?attachType=PDF&id=171467",""
